2025-07-10 23:51:29,698 | INFO | 0001 | PASSED: Zero results
2025-07-10 23:51:29,960 | INFO | 0002 | PASSED: Zero results
2025-07-10 23:51:30,220 | INFO | 0003 | PASSED: Zero results
2025-07-10 23:51:30,470 | INFO | 0004 | PASSED: Zero results
2025-07-10 23:51:30,714 | INFO | 0005 | PASSED: Zero results
2025-07-10 23:51:30,955 | INFO | 0006 | PASSED: Zero results
2025-07-10 23:51:31,201 | INFO | 0007 | PASSED: Zero results
2025-07-10 23:51:31,917 | INFO | 0008 | PASSED: Zero results
2025-07-10 23:51:32,202 | INFO | 0009 | PASSED: Zero results
2025-07-10 23:51:32,482 | INFO | 0010 | PASSED: Zero results
2025-07-10 23:51:32,752 | INFO | 0011 | PASSED: Zero results
2025-07-10 23:51:33,019 | INFO | 0012 | PASSED: Zero results
2025-07-10 23:51:33,331 | INFO | 0013 | PASSED: Zero results
2025-07-10 23:51:33,593 | INFO | 0014 | PASSED: Zero results
2025-07-10 23:51:33,885 | INFO | 0015 | PASSED: Zero results
2025-07-10 23:51:34,189 | INFO | 0016 | PASSED: Zero results
2025-07-10 23:51:34,480 | INFO | 0017 | PASSED: Zero results
2025-07-10 23:51:34,765 | INFO | 0018 | PASSED: Zero results
2025-07-10 23:51:35,038 | INFO | 0019 | PASSED: Zero results
2025-07-10 23:51:35,325 | INFO | 0020 | PASSED: Zero results
2025-07-10 23:51:35,600 | INFO | 0021 | PASSED: Zero results
2025-07-10 23:51:35,865 | INFO | 0022 | PASSED: Zero results
2025-07-10 23:51:36,133 | INFO | 0023 | PASSED: Zero results
2025-07-10 23:51:36,400 | INFO | 0024 | PASSED: Zero results
2025-07-10 23:51:36,680 | INFO | 0025 | PASSED: Zero results
2025-07-10 23:51:36,954 | INFO | 0026 | PASSED: Zero results
2025-07-10 23:51:37,222 | INFO | 0027 | PASSED: Zero results
2025-07-10 23:51:37,493 | INFO | 0028 | PASSED: Zero results
2025-07-10 23:51:37,762 | INFO | 0029 | PASSED: Zero results
2025-07-10 23:51:38,033 | INFO | 0030 | PASSED: Zero results
2025-07-10 23:51:38,951 | INFO | 0031 | PASSED: Zero results
2025-07-10 23:51:39,261 | INFO | 0032 | PASSED: Zero results
2025-07-10 23:51:39,585 | INFO | 0033 | PASSED: Zero results
2025-07-10 23:51:39,899 | INFO | 0034 | PASSED: Zero results
2025-07-10 23:51:40,214 | INFO | 0035 | PASSED: Zero results
2025-07-10 23:51:40,498 | INFO | 0036 | PASSED: Zero results
2025-07-10 23:51:41,022 | INFO | 0037 | PASSED: Zero results
2025-07-10 23:51:41,316 | INFO | 0038 | PASSED: Zero results
2025-07-10 23:51:41,608 | INFO | 0039 | PASSED: Zero results
2025-07-10 23:51:42,512 | INFO | 0040 | PASSED: Authorised Receiver of Product Information GLN (Global Location Number)
2025-07-10 23:51:44,105 | INFO | 0041 | PASSED: Zero results
2025-07-10 23:51:44,387 | INFO | 0042 | PASSED: Zero results
2025-07-10 23:51:44,670 | INFO | 0043 | PASSED: Zero results
2025-07-10 23:51:44,968 | INFO | 0044 | PASSED: Zero results
2025-07-10 23:51:45,241 | INFO | 0045 | PASSED: Zero results
2025-07-10 23:51:45,515 | INFO | 0046 | PASSED: Zero results
2025-07-10 23:51:45,789 | INFO | 0047 | PASSED: Zero results
2025-07-10 23:51:46,059 | INFO | 0048 | PASSED: Zero results
2025-07-10 23:51:46,328 | INFO | 0049 | PASSED: Zero results
2025-07-10 23:51:46,599 | INFO | 0050 | PASSED: Zero results
2025-07-10 23:51:46,865 | INFO | 0051 | PASSED: Zero results
2025-07-10 23:51:47,140 | INFO | 0052 | PASSED: Zero results
2025-07-10 23:51:47,406 | INFO | 0053 | PASSED: Zero results
2025-07-10 23:51:47,682 | INFO | 0054 | PASSED: Zero results
2025-07-10 23:51:47,958 | INFO | 0055 | PASSED: Zero results
2025-07-10 23:51:48,324 | INFO | 0056 | PASSED: Base Unit Indicator
2025-07-10 23:51:50,102 | INFO | 0057 | PASSED: Consumer Unit Indicator
2025-07-10 23:51:51,857 | INFO | 0058 | PASSED: Shipping Unit Indicator
2025-07-10 23:51:53,525 | INFO | 0059 | PASSED: is Trade Item An Invoice Unit
2025-07-10 23:51:55,233 | INFO | 0060 | PASSED: Orderable Unit Indicator
2025-07-10 23:51:56,926 | INFO | 0061 | PASSED: is Trade Item A Service
2025-07-10 23:51:58,464 | INFO | 0062 | PASSED: Zero results
2025-07-10 23:51:58,747 | INFO | 0063 | PASSED: Zero results
2025-07-10 23:51:59,205 | INFO | 0064 | PASSED: preliminary Item Status Code
2025-07-10 23:52:00,894 | INFO | 0065 | PASSED: trade Item Trade Channel Code
2025-07-10 23:52:02,548 | INFO | 0066 | PASSED: Product Hierarchy Level Code
2025-07-10 23:52:04,182 | INFO | 0067 | PASSED: GTIN (Global Trade Item Number)
2025-07-10 23:52:05,774 | INFO | 0068 | PASSED: Additional Product Identification
2025-07-10 23:52:07,350 | INFO | 0069 | PASSED: Additional Product Identification Type Code
2025-07-10 23:52:08,590 | INFO | 0070 | PASSED: Zero results
2025-07-10 23:52:08,813 | INFO | 0071 | PASSED: Zero results
2025-07-10 23:52:09,124 | INFO | 0072 | PASSED: additional Party Identification
2025-07-10 23:52:10,626 | INFO | 0073 | PASSED: additional Party Identification Type Code
2025-07-10 23:52:12,182 | INFO | 0074 | PASSED: Zero results
2025-07-10 23:52:12,578 | INFO | 0075 | PASSED: Brand Owner GLN (Global Location Number)
2025-07-10 23:52:14,241 | INFO | 0076 | PASSED: party Address
2025-07-10 23:52:15,646 | INFO | 0077 | PASSED: Brand Owner Name
2025-07-10 23:52:16,797 | INFO | 0078 | PASSED: Zero results
2025-07-10 23:52:17,016 | INFO | 0079 | PASSED: Zero results
2025-07-10 23:52:17,367 | INFO | 0080 | PASSED: additional Party Identification
2025-07-10 23:52:18,601 | INFO | 0081 | PASSED: additional Party Identification Type Code
2025-07-10 23:52:19,811 | INFO | 0082 | PASSED: Zero results
2025-07-10 23:52:20,116 | INFO | 0083 | PASSED: Data Provider GLN (Global Location Number)
2025-07-10 23:52:21,471 | INFO | 0084 | PASSED: Zero results
2025-07-10 23:52:21,855 | INFO | 0085 | PASSED: Data Provider Name
2025-07-10 23:52:23,400 | INFO | 0086 | PASSED: Zero results
2025-07-10 23:52:23,711 | INFO | 0087 | PASSED: Zero results
2025-07-10 23:52:24,016 | INFO | 0088 | PASSED: Zero results
2025-07-10 23:52:24,315 | INFO | 0089 | PASSED: Zero results
2025-07-10 23:52:24,630 | INFO | 0090 | PASSED: Zero results
2025-07-10 23:52:25,015 | INFO | 0091 | PASSED: Manufacturing GLN (Global Location Number)
2025-07-10 23:52:26,690 | INFO | 0092 | PASSED: party Address
2025-07-10 23:52:28,261 | INFO | 0093 | PASSED: Manufacturer Name
2025-07-10 23:52:29,809 | INFO | 0094 | PASSED: Zero results
2025-07-10 23:52:30,088 | INFO | 0095 | PASSED: Zero results
2025-07-10 23:52:30,366 | INFO | 0096 | PASSED: Zero results
2025-07-10 23:52:30,639 | INFO | 0097 | PASSED: Zero results
2025-07-10 23:52:30,903 | INFO | 0098 | PASSED: Zero results
2025-07-10 23:52:31,167 | INFO | 0099 | PASSED: Zero results
2025-07-10 23:52:31,436 | INFO | 0100 | PASSED: Zero results
2025-07-10 23:52:31,841 | INFO | 0101 | PASSED: party Name
2025-07-10 23:52:33,299 | INFO | 0102 | PASSED: Zero results
2025-07-10 23:52:33,553 | INFO | 0103 | PASSED: Zero results
2025-07-10 23:52:33,868 | INFO | 0104 | PASSED: Zero results
2025-07-10 23:52:34,150 | INFO | 0105 | PASSED: Zero results
2025-07-10 23:52:34,427 | INFO | 0106 | PASSED: Zero results
2025-07-10 23:52:34,698 | INFO | 0107 | PASSED: Zero results
2025-07-10 23:52:34,972 | INFO | 0108 | PASSED: Zero results
2025-07-10 23:52:35,201 | INFO | 0109 | PASSED: Zero results
2025-07-10 23:52:35,427 | INFO | 0110 | PASSED: Zero results
2025-07-10 23:52:35,654 | INFO | 0111 | PASSED: Zero results
2025-07-10 23:52:36,011 | INFO | 0112 | PASSED: Country Of Sale Code
2025-07-10 23:52:37,505 | INFO | 0113 | PASSED: Zero results
2025-07-10 23:52:37,800 | INFO | 0114 | PASSED: Zero results
2025-07-10 23:52:38,166 | INFO | 0115 | PASSED: Referenced GTIN Type Code
2025-07-10 23:52:39,800 | INFO | 0116 | PASSED: Referenced GTIN
2025-07-10 23:52:41,554 | INFO | 0117 | PASSED: additional Trade Item Identification
2025-07-10 23:52:43,194 | INFO | 0118 | PASSED: additional Trade Item Identification/@additional Trade Item Identification/@additional Trade Item Identification Type Code
2025-07-10 23:52:44,574 | INFO | 0119 | PASSED: Zero results
2025-07-10 23:52:44,773 | INFO | 0120 | PASSED: Zero results
2025-07-10 23:52:45,070 | INFO | 0121 | PASSED: Contact Information Available Time
2025-07-10 23:52:46,312 | INFO | 0122 | PASSED: Zero results
2025-07-10 23:52:46,611 | INFO | 0123 | PASSED: Contact Address
2025-07-10 23:52:47,798 | INFO | 0124 | PASSED: Zero results
2025-07-10 23:52:48,028 | INFO | 0125 | PASSED: Zero results
2025-07-10 23:52:48,334 | INFO | 0126 | PASSED: Contact
2025-07-10 23:52:49,924 | INFO | 0127 | PASSED: Contact Type Code
2025-07-10 23:52:51,537 | INFO | 0128 | PASSED: Contact Information GLN (Global Location Number)
2025-07-10 23:52:52,928 | INFO | 0129 | PASSED: Zero results
2025-07-10 23:52:53,168 | INFO | 0130 | PASSED: Zero results
2025-07-10 23:52:53,396 | INFO | 0131 | PASSED: Zero results
2025-07-10 23:52:53,630 | INFO | 0132 | PASSED: Zero results
2025-07-10 23:52:53,876 | INFO | 0133 | PASSED: Zero results
2025-07-10 23:52:54,231 | INFO | 0134 | PASSED: Contact Method Code
2025-07-10 23:52:56,037 | INFO | 0135 | PASSED: Contact Details
2025-07-10 23:52:57,605 | INFO | 0136 | PASSED: Zero results
2025-07-10 23:52:57,917 | INFO | 0137 | PASSED: Zero results
2025-07-10 23:52:58,213 | INFO | 0138 | PASSED: Zero results
2025-07-10 23:52:58,511 | INFO | 0139 | PASSED: Zero results
2025-07-10 23:52:58,791 | INFO | 0140 | PASSED: Zero results
2025-07-10 23:52:59,195 | INFO | 0141 | PASSED: cancelled Date Time
2025-07-10 23:53:00,665 | INFO | 0142 | PASSED: Zero results
2025-07-10 23:53:01,085 | INFO | 0143 | PASSED: discontinued Date Time
2025-07-10 23:53:02,697 | INFO | 0144 | PASSED: Product Information Effective Date/Time
2025-07-10 23:53:04,439 | INFO | 0145 | PASSED: last Change Date Time
2025-07-10 23:53:06,138 | INFO | 0146 | PASSED: publication Date Time
2025-07-10 23:53:07,298 | INFO | 0147 | PASSED: Zero results
2025-07-10 23:53:07,513 | INFO | 0148 | PASSED: Zero results
2025-07-10 23:53:07,795 | INFO | 0149 | PASSED: Display Type Code
2025-07-10 23:53:09,029 | INFO | 0150 | PASSED: has Display Ready Packaging
2025-07-10 23:53:10,231 | INFO | 0151 | PASSED: Display Unit Indicator
2025-07-10 23:53:11,359 | INFO | 0152 | PASSED: Zero results
2025-07-10 23:53:11,581 | INFO | 0153 | PASSED: Zero results
2025-07-10 23:53:11,767 | INFO | 0154 | PASSED: Zero results
2025-07-10 23:53:11,971 | INFO | 0155 | PASSED: Zero results
2025-07-10 23:53:12,171 | INFO | 0156 | PASSED: Zero results
2025-07-10 23:53:12,429 | INFO | 0157 | PASSED: Zero results
2025-07-10 23:53:12,660 | INFO | 0158 | PASSED: Zero results
2025-07-10 23:53:12,913 | INFO | 0159 | PASSED: Zero results
2025-07-10 23:53:13,180 | INFO | 0160 | PASSED: Zero results
2025-07-10 23:53:13,538 | INFO | 0161 | PASSED: Global Product Category Code
2025-07-10 23:53:15,168 | INFO | 0162 | PASSED: gpc Category Definition
2025-07-10 23:53:16,893 | INFO | 0163 | PASSED: gpc Category Name
2025-07-10 23:53:18,445 | INFO | 0164 | PASSED: Zero results
2025-07-10 23:53:18,801 | INFO | 0165 | PASSED: Global Product Category Attribute Type Code
2025-07-10 23:53:20,380 | INFO | 0166 | PASSED: Global Product Category Attribute Value Code
2025-07-10 23:53:21,636 | INFO | 0167 | PASSED: gpc Attribute Type Definition
2025-07-10 23:53:22,788 | INFO | 0168 | PASSED: Zero results
2025-07-10 23:53:23,010 | INFO | 0169 | PASSED: Zero results
2025-07-10 23:53:23,228 | INFO | 0170 | PASSED: Zero results
2025-07-10 23:53:23,501 | INFO | 0171 | PASSED: Additional Product Classification Type Code
2025-07-10 23:53:24,644 | INFO | 0172 | PASSED: Zero results
2025-07-10 23:53:24,942 | INFO | 0173 | PASSED: Additional Product Classification Value
2025-07-10 23:53:26,343 | INFO | 0174 | PASSED: additional Trade Item Classification Code Description
2025-07-10 23:53:27,679 | INFO | 0175 | PASSED: Zero results
